"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME (shares)","VALUE  (₹ Crores)","52W H","52W L","30 D   %CHNG",365 D % CHNG  25-Jan-2024
NIFTY NEXT 50,"63,574.70","63,755.10","62,388.60","63,499.75","62,494.00","-","-1,005.75","-1.58","26,46,30,006","10,080.89","77,918.00","55,463.50","-9.24","15.11"
LODHA,"1,077.00","1,109.00","1,076.00","1,082.30","1,100.00","-","17.70","1.64","25,66,066","281.53","1,649.95","977.35","-21.63","4.12"
"BAJAJHLDNG","11,160.05","11,310.00","11,101.40","11,198.30","11,290.00","-","91.70","0.82","28,427","32.03","13,238.00","7,659.95","2.19","37.77"
"INDIGO","4,162.10","4,269.80","4,126.05","4,134.80","4,162.25","-","27.45","0.66","14,81,820","621.17","5,035.00","2,847.00",-9.77,"45.36"
"VBL","539.00","548.70","536.90","540.40","541.60","-","1.20","0.22","30,64,139","165.99","681.12","488.40","-13.65","-56.92"
"AMBUJACEM","551.90","561.90","547.00","548.80","550.00","-","1.20","0.22","38,59,868","214.68","706.95","453.05","1.60","-1.49"
"TATAPOWER","362.75","370.70","362.20","362.75","363.00","-","0.25","0.07","79,66,520","291.85","494.85","338.40","-9.01","-0.47"
"DABUR","524.65","527.00","518.60","524.60","522.35","-","-2.25","-0.43","10,31,251","53.89","672.00","489.20","2.29","-1.87"
"LTIM","6,023.60","6,047.95","5,961.60","6,002.05","5,975.00","-","-27.05","-0.45","2,19,285","131.77","6,767.95","4,513.55","4.76","9.16"
"TORNTPHARM","3,270.75","3,283.85","3,210.00","3,263.75","3,248.90","-","-14.85","-0.45","3,91,085","126.81","3,590.70","2,414.00","-4.44","31.33"
"DMART","3,598.00","3,608.50","3,535.00","3,598.35","3,581.35","-","-17.00","-0.47","2,88,983","103.33","5,484.85","3,399.00","3.48","-4.13"
"IRFC","141.60","143.18","139.00","141.37","140.68","-","-0.69","-0.49","1,58,43,304","222.88","229.00","116.65","-4.86","-19.08"
"SHREECEM","25,926.80","26,393.40","25,646.80","25,926.80","25,748.00","-","-178.80","-0.69","31,358","81.60","30,737.75","23,500.00","-3.46","-7.75"
"ICICIPRULI","595.00","600.85","586.90","594.70","590.00","-","-4.70","-0.79","15,67,073","92.86","796.80","480.00","-10.74","21.43"
"VEDL","446.00","453.50","440.45","446.50","442.75","-","-3.75","-0.84","47,58,741","212.41","526.95","249.50","-4.35","67.68"
"IOC","130.99","132.75","127.90","129.83","128.61","-","-1.22","-0.94","1,26,30,632","164.11","196.80","121.16","-7.24","-10.74"
"IRCTC","799.20","802.50","784.30","795.20","787.00","-","-8.20","-1.03","13,03,909","103.57","1,138.90","743.75","-0.16","-18.84"
"ICICIGI","1,839.00","1,841.85","1,805.00","1,834.10","1,815.00","-","-19.10","-1.04","4,29,489","78.17","2,301.90","1,468.80","-2.85","22.50"
"ADANIPOWER","522.55","528.80","509.00","521.80","515.50","-","-6.30","-1.21","49,43,171","255.83","895.85","432.00","3.80","-"
"JINDALSTEL","899.00","908.00","881.00","893.00","881.55","-","-11.45","-1.28","20,53,984","183.22","1,097.00","687.80","-6.35","23.24"
"GODREJCP","1,145.95","1,147.95","1,125.40","1,145.20","1,130.00","-","-15.20","-1.33","3,77,449","42.76","1,541.85","1,055.05","4.88","-2.33"
"MOTHERSON","145.16","146.01","142.38","144.97","143.03","-","-1.94","-1.34","70,07,575","100.73","216.99","104.20","-9.05","23.91"
"JSWENERGY","555.00","564.00","538.10","552.10","544.55","-","-7.55","-1.37","21,08,004","115.85","804.90","452.20","-16.03","11.59"
"TVSMOTOR","2,301.00","2,307.30","2,258.00","2,300.10","2,268.45","-","-31.65","-1.38","5,76,285","130.89","2,958.00","1,873.00","-6.45","16.98"
"NAUKRI","7,525.50","7,564.00","7,430.15","7,535.50","7,430.35","-","-105.15","-1.40","1,37,875","103.19","9,128.90","4,862.20","-14.14","49.46"
"CANBK","98.15","98.68","96.41","98.15","96.70","-","-1.45","-1.48","1,26,10,574","122.88","128.90","87.79","-3.78","-79.21"
"DIVISLAB","5,850.00","5,900.40","5,707.30","5,850.95","5,764.00","-","-86.95","-1.49","3,87,486","224.39","6,285.45","3,350.00","-0.34","61.02"
"CHOLAFIN","1,247.50","1,252.35","1,215.65","1,246.05","1,224.50","-","-21.55","-1.73","11,18,698","137.79","1,652.00","1,011.20","3.17","-1.74"
"BANKBARODA","228.36","230.01","224.60","229.16","224.97","-","-4.19","-1.83","74,98,269","170.44","299.70","216.35","-8.06","-0.81"
"LICI","839.50","839.90","820.00","837.25","821.60","-","-15.65","-1.87","5,29,524","43.84","1,222.00","806.85","-7.79","-9.10"
"HAL","3,940.00","3,974.05","3,836.25","3,922.55","3,848.45","-","-74.10","-1.89","11,49,113","446.69","5,674.75","2,820.00","-8.69","32.58"
"BOSCHLTD","30,900.00","31,113.50","30,240.00","30,990.50","30,395.00","-","-595.50","-1.92","15,495","47.39","39,088.80","22,315.20","-11.77","33.26"
"PIDILITIND","2,909.65","2,943.00","2,841.00","2,909.65","2,853.50","-","-56.15","-1.93","3,00,150","86.44","3,415.00","2,503.25","-3.88","10.21"
"NHPC","78.40","78.81","76.75","78.46","76.93","-","-1.53","-1.95","83,28,267","64.60","118.40","72.15","-6.30","-7.71"
"ADANIGREEN","1,037.25","1,065.00","1,006.00","1,030.25","1,009.00","-","-21.25","-2.06","49,78,974","512.93","2,174.10","870.25","-1.84","-39.21"
"UNITDSPR","1,536.00","1,549.00","1,461.35","1,500.65","1,469.55","-","-31.10","-2.07","19,68,647","292.56","1,700.00","1,054.70","-6.07","-"
"PNB","99.25","99.79","96.51","99.43","97.34","-","-2.09","-2.10","2,68,93,329","263.66","142.90","92.40","-3.96","-6.58"
"GAIL","178.81","180.09","175.34","179.66","175.71","-","-3.95","-2.20","62,35,286","110.03","246.30","156.20","-11.22","6.31"
"UNIONBANK","109.92","110.00","106.50","109.70","107.22","-","-2.48","-2.26","52,16,313","56.30","172.50","100.81","-9.19","-23.55"
"ABB","6,360.00","6,379.90","6,152.30","6,330.25","6,174.00","-","-156.25","-2.47","1,45,838","90.89","9,149.95","4,340.30","-10.17","30.38"
"ATGL","660.00","663.70","638.00","658.25","641.05","-","-17.20","-2.61","4,69,301","30.41","1,190.00","545.75","-4.39","-36.04"
"ADANIENSOL","814.00","816.00","781.00","808.80","787.00","-","-21.80","-2.70","27,73,445","219.77","1,348.00","588.00","2.48","-25.56"
"BHEL","207.00","208.66","199.50","206.49","200.80","-","-5.69","-2.76","93,44,993","189.91","335.35","191.66","-16.36","-8.96"
"ZOMATO","221.00","221.00","214.60","221.95","215.45","-","-6.50","-2.93","4,39,01,547","956.09","304.70","129.80","-21.56","58.35"
"ZYDUSLIFE","989.05","989.05","955.00","989.15","959.30","-","-29.85","-3.02","7,80,860","75.29","1,324.30","726.45","-0.75","30.02"
SIEMENS,"6,050.00","6,067.00","5,834.20","6,067.85","5,880.00","-","-187.85","-3.10","2,47,172","146.60","8,129.90","4,029.45","-11.65","39.81"
"DLF","718.00","720.00","691.10","715.05","692.80","-","-22.25","-3.11","34,32,119","242.09","967.60","687.05","-17.40","-8.36"
"PFC","421.30","423.70","407.10","421.25","407.95","-","-13.30","-3.16","55,21,223","227.74","580.00","351.70","-9.49","-2.53"
"RECLTD","463.75","466.25","445.00","463.75","446.65","-","-17.10","-3.69","67,38,912","304.88","654.00","408.30","-12.05","-5.08"
"HAVELLS","1,595.30","1,605.95","1,517.55","1,595.30","1,533.45","-","-61.85","-3.88","9,99,025","154.22","2,106.00","1,280.00","-9.02","18.05"
"JIOFIN","256.00","257.35","243.55","255.85","243.90","-","-11.95","-4.67","3,83,79,153","951.96","394.70","237.10","-19.77","1.92"
